POI,importance coef 500,importance coef 1000,importance coef 3000
subway_station,9025.589653203628,6431.634361051755,1117.533865604576
bus_station,2977.285251413692,-3.076322429224522,-707.7305650446468
library,2963.6124733050146,260.5527604077847,1732.2772840361358
church,2351.578083560539,1274.9664258219332,1710.529869759042
shopping_mall,1311.7466801809387,1311.550115857285,1587.1662057525482
park,1107.9035906008494,530.5978134220704,203.42155419612337
university,385.9810061952673,-16.384840293802153,-187.25573523988433
hospital,158.84325885355688,722.9969086331424,267.20102259445935
night_club,65.34174387982532,-1242.3738996297238,-630.2410135238916
supermarket,-637.432942521112,63.68041306916408,-8.05613229732832
police,-2248.0193590875124,-1579.4157449578772,-1708.2048804704245
primary_school,-2651.516169151231,-1932.7264062231507,-2589.4743193695804
