properties,importance coef
Type of Building_Others,46093.07026548181
Type of Building_Townhouse,38655.54659608424
Main construction Method_Other,35629.387115367404
Main construction Method_Steel Reinforced Concrete,17639.677085407853
Bathrooms,7467.196903101561
Living/Dining Rooms,1763.0411565646396
Total Floor,840.2294456529266
Transacted Floor,147.00537210736584
time delta year,-665.3363796868077
Bed Rooms,-7893.375963917622
Type of Building_Residential Apartment/Condo (11F+ with elevators),-12599.063663681083
Type of Building_Apartment Building (Below 10F with Elevator),-14577.330528365028
Main construction Method_Reinforced Brick,-15616.447995929908
Type of Building_Studio,-17447.461484090112
Main construction Method_Reinforced Concrete,-37652.616204845275
Type of Building_Apartment (Below 5F without Elevator),-40124.76118542987
